session;candidatures;labels;preLabels;retraits;conversions;newLabels;taux_acceptation_pct;statut;entries;reportes
03/2019;16;12;0;0;0;12;75.0;conforme;14;0
04/2019;51;33;0;0;0;33;64.71;conforme;52;0
05/2019;30;15;8;0;0;15;50.0;conforme;30;0
06/2019;33;15;8;0;0;15;45.45;conforme;32;0
07/2019;28;15;8;0;0;15;53.57;conforme;29;0
08/2019;28;24;7;0;0;24;85.71;conforme;28;0
09/2019;24;15;6;0;0;15;62.5;conforme;27;0
10/2019;34;23;4;0;0;23;67.65;conforme;39;0
11/2019;35;17;10;0;0;17;48.57;conforme;41;0
12/2019;32;23;8;0;0;23;71.88;conforme;42;0
01/2020;38;18;11;0;0;18;47.37;conforme;42;0
02/2020;32;22;11;0;0;22;68.75;Reporté documenté;41;1
03/2020;35;16;10;0;0;16;45.71;Reporté documenté;40;1
04/2020;40;20;7;1;0;20;50.0;conforme;45;0
05/2020;26;12;10;1;0;12;46.15;conforme;32;0
06/2020;26;12;5;0;0;12;46.15;conforme;30;0
07/2020;40;18;7;2;0;18;45.0;conforme;51;0
08/2020;28;17;6;0;0;17;60.71;conforme;34;0
09/2020;24;11;9;5;0;11;45.83;conforme;23;0
10/2020;41;16;10;1;0;16;39.02;conforme;24;0
11/2020;41;26;14;1;0;26;63.41;conforme;40;0
12/2020;36;21;8;0;0;21;58.33;conforme;36;0
01/2021;36;24;7;0;0;24;66.67;conforme;36;0
02/2021;41;25;7;0;7;18;60.98;conforme;48;0
03/2021;41;25;8;2;13;12;60.98;conforme;56;0
04/2021;80;22;24;1;0;22;27.5;conforme;81;0
05/2021;40;19;8;1;6;13;47.5;conforme;47;0
06/2021;41;18;6;0;7;11;43.9;conforme;47;0
07/2021;40;22;5;0;11;11;55.0;Reporté documenté;50;1
08/2021;25;13;4;1;7;6;52.0;conforme;33;0
09/2021;15;13;6;0;13;0;86.67;conforme;38;0
10/2021;41;23;7;0;8;15;56.1;conforme;49;0
11/2021;40;19;10;0;7;12;47.5;conforme;47;0
12/2021;38;20;11;19;6;14;52.63;conforme;51;0
01/2022;38;15;9;4;6;9;39.47;conforme;46;0
02/2022;18;12;3;0;4;8;66.67;conforme;22;0
03/2022;21;14;5;0;9;5;66.67;conforme;30;0
04/2022;22;9;6;1;4;5;40.91;conforme;27;0
05/2022;41;14;9;2;6;8;34.15;conforme;49;0
06/2022;40;14;10;2;4;10;35.0;conforme;46;0
07/2022;40;18;9;1;4;14;45.0;conforme;45;0
08/2022;36;12;12;2;6;6;33.33;conforme;44;0
09/2022;40;19;5;0;9;10;47.5;conforme;49;0
10/2022;38;14;7;1;6;8;36.84;conforme;45;0
11/2022;34;17;10;0;8;9;50.0;conforme;42;0
12/2022;30;17;5;0;9;8;56.67;conforme;39;0
01/2023;26;16;6;2;10;6;61.54;conforme;38;0
02/2023;33;18;11;1;8;10;54.55;conforme;42;0
03/2023;37;13;6;0;5;8;35.14;conforme;42;0
04/2023;40;14;5;0;0;14;35.0;conforme;40;0
05/2023;39;19;9;0;6;13;48.72;conforme;45;0
06/2023;28;10;8;0;6;4;35.71;conforme;34;0
07/2023;33;15;8;2;9;6;45.45;conforme;42;0
08/2023;26;11;6;0;7;4;42.31;conforme;33;0
09/2023;33;15;6;1;8;7;45.45;conforme;41;0
10/2023;31;6;5;3;1;5;19.35;conforme;31;0
11/2023;30;14;4;6;8;6;46.67;conforme;38;0
12/2023;39;14;5;0;4;10;35.9;conforme;43;0
01/2024;33;14;6;3;6;8;42.42;conforme;36;0
02/2024;33;9;6;3;0;9;27.27;conforme;33;0
03/2024;31;7;7;3;4;3;22.58;conforme;34;0
04/2024;39;14;5;2;5;9;35.9;conforme;42;0
05/2024;39;14;5;2;0;14;35.9;conforme;46;0
06/2024;37;14;5;2;3;11;37.84;conforme;40;0
07/2024;33;5;7;3;2;3;15.15;conforme;34;0
08/2024;37;11;6;1;5;6;29.73;conforme;39;0
09/2024;34;11;9;1;5;6;32.35;conforme;39;0
10/2024;43;15;7;3;6;9;34.88;Reporté documenté;49;1
11/2024;41;14;7;2;2;12;34.15;conforme;43;0
12/2024;40;16;4;1;0;16;40.0;conforme;39;0
01/2025;39;18;2;2;5;13;46.15;conforme;44;0
02/2025;41;13;9;4;4;9;31.71;conforme;45;0
03/2025;21;6;5;1;0;6;28.57;conforme;21;0
04/2025;21;13;5;7;8;5;61.9;conforme;27;0
05/2025;47;13;10;1;3;10;27.66;conforme;50;0
06/2025;36;12;8;1;5;7;33.33;conforme;41;0
07/2025;29;9;8;6;5;4;31.03;conforme;34;0
08/2025;41;15;9;4;9;6;36.59;conforme;50;0
09/2025;25;7;10;4;6;1;28.0;conforme;31;0
10/2025;41;17;12;3;10;7;41.46;conforme;51;0
11/2025;39;15;3;2;8;7;38.46;conforme;47;0
12/2025;41;15;6;5;10;5;36.59;conforme;51;0
01/2026;31;9;7;5;7;2;29.03;conforme;37;0
02/2026;36;21;3;2;3;18;58.33;conforme;39;0
03/2026;41;13;7;6;3;10;31.71;conforme;44;0
04/2026;41;12;5;5;4;8;29.27;conforme;47;0
05/2026;40;13;10;3;5;8;32.5;conforme;42;0
06/2026;40;7;9;3;4;3;17.5;conforme;45;0
